date,username,time,task,computer,stimfile
03/10/2016,gru,10-Mar-2016 21:14:42,mglRetinotopy.m,oban.stanford.edu,~/data/mglRetinotopy/s037/160310_stim01.mat
03/10/2016,gru,10-Mar-2016 21:19:38,mglRetinotopy.m,oban.stanford.edu,~/data/mglRetinotopy/s037/160310_stim02.mat
03/10/2016,gru,10-Mar-2016 21:24:15,mglRetinotopy.m,oban.stanford.edu,~/data/mglRetinotopy/s037/160310_stim03.mat
03/10/2016,gru,10-Mar-2016 21:28:45,mglRetinotopy.m,oban.stanford.edu,~/data/mglRetinotopy/s037/160310_stim04.mat
03/10/2016,gru,10-Mar-2016 21:31:34,harrisontong.m,oban.stanford.edu,~/data/harrisontong/s037/160310_stim05.mat
03/10/2016,gru,10-Mar-2016 21:39:57,harrisontong.m,oban.stanford.edu,~/data/harrisontong/s037/160310_stim06.mat
03/10/2016,gru,10-Mar-2016 21:47:23,harrisontong.m,oban.stanford.edu,~/data/harrisontong/s037/160310_stim07.mat
03/10/2016,gru,10-Mar-2016 21:55:33,harrisontong.m,oban.stanford.edu,~/data/harrisontong/s037/160310_stim08.mat
03/10/2016,gru,10-Mar-2016 22:03:15,harrisontong.m,oban.stanford.edu,~/data/harrisontong/s037/160310_stim09.mat
03/10/2016,gru,10-Mar-2016 22:11:19,harrisontong.m,oban.stanford.edu,~/data/harrisontong/s037/160310_stim10.mat
03/10/2016,gru,10-Mar-2016 22:19:12,harrisontong.m,oban.stanford.edu,~/data/harrisontong/s037/160310_stim11.mat
